# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 2.5000000000e+02
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
239               	-7.3404210266e-05	9.5291282748e-03	3.6758537980e-04	1.1038847963e-04	2.5719690016e-04
240               	-7.2938315496e-05	9.5230226192e-03	3.6589656408e-04	1.1000996654e-04	2.5588659754e-04
241               	-7.2473060005e-05	9.5169785711e-03	3.6419246704e-04	1.0962317352e-04	2.5456929353e-04
242               	-7.2015233004e-05	9.5109577299e-03	3.6249235514e-04	1.0923094457e-04	2.5326141057e-04
243               	-7.1569268065e-05	9.5049291776e-03	3.6081146455e-04	1.0883646421e-04	2.5197500034e-04
244               	-7.1134863761e-05	9.4988979972e-03	3.5915042287e-04	1.0844034767e-04	2.5071007519e-04
245               	-7.0709540879e-05	9.4928913877e-03	3.5750135672e-04	1.0804113748e-04	2.4946021924e-04
246               	-7.0290908253e-05	9.4869267127e-03	3.5585728096e-04	1.0763773223e-04	2.4821954873e-04
247               	-6.9878616732e-05	9.4809981910e-03	3.5421841905e-04	1.0723059279e-04	2.4698782626e-04
248               	-6.9473672977e-05	9.4750893876e-03	3.5258936617e-04	1.0682101011e-04	2.4576835606e-04
249               	-6.9076437325e-05	9.4691922078e-03	3.5097241250e-04	1.0640976892e-04	2.4456264357e-04
250               	-6.8685592970e-05	9.4633091192e-03	3.4936485958e-04	1.0599683682e-04	2.4336802276e-04
251               	-6.8298826154e-05	9.4574478930e-03	3.4776175323e-04	1.0558205046e-04	2.4217970277e-04
252               	-6.7914239588e-05	9.4516133512e-03	3.4615984348e-04	1.0516568215e-04	2.4099416133e-04
253               	-6.7531135269e-05	9.4458039804e-03	3.4455885580e-04	1.0474829263e-04	2.3981056317e-04
254               	-6.7149835234e-05	9.4400151590e-03	3.4296024033e-04	1.0433028493e-04	2.3862995540e-04
255               	-6.6771085736e-05	9.4342441390e-03	3.4136561708e-04	1.0391172280e-04	2.3745389427e-04
256               	-6.6396047195e-05	9.4284916724e-03	3.3977704798e-04	1.0349247679e-04	2.3628457118e-04
257               	-6.6026324624e-05	9.4227601722e-03	3.3819765669e-04	1.0307250372e-04	2.3512515297e-04
258               	-6.5662827093e-05	9.4170513653e-03	3.3662981044e-04	1.0265207812e-04	2.3397773231e-04
259               	-6.5306116847e-05	9.4113649028e-03	3.3507553424e-04	1.0223165027e-04	2.3284388397e-04
260               	-6.4955659513e-05	9.4056995273e-03	3.3353471421e-04	1.0181169759e-04	2.3172301662e-04
261               	-6.4611453022e-05	9.4000538723e-03	3.3200785023e-04	1.0139247209e-04	2.3061537814e-04
262               	-6.4273816491e-05	9.3944274995e-03	3.3049571777e-04	1.0097404239e-04	2.2952167538e-04
263               	-6.3942721619e-05	9.3888211839e-03	3.2899846010e-04	1.0055650843e-04	2.2844195167e-04
264               	-6.3617737851e-05	9.3832358621e-03	3.2751567378e-04	1.0014009904e-04	2.2737557474e-04
265               	-6.3298175796e-05	9.3776718307e-03	3.2604660816e-04	9.9725128286e-05	2.2632147988e-04
266               	-6.2984420184e-05	9.3721287141e-03	3.2459204789e-04	9.9311603760e-05	2.2528044413e-04
267               	-6.2677240148e-05	9.3666058918e-03	3.2315348068e-04	9.8899500194e-05	2.2425398049e-04
268               	-6.2376344522e-05	9.3611027862e-03	3.2173105117e-04	9.8489181062e-05	2.2324187011e-04
269               	-6.2079861732e-05	9.3556194118e-03	3.2032205511e-04	9.8081165822e-05	2.2224088929e-04
270               	-6.1780123195e-05	9.3501568164e-03	3.1891240007e-04	9.7676076841e-05	2.2123632323e-04
271               	-6.1473647535e-05	9.3447150355e-03	3.1749638151e-04	9.7274543221e-05	2.2022183829e-04
272               	-6.1164779595e-05	9.3392931908e-03	3.1608171003e-04	9.6876075422e-05	2.1920563461e-04
273               	-6.0857140631e-05	9.3338907671e-03	3.1467411224e-04	9.6479915489e-05	2.1819419675e-04
274               	-6.0552548813e-05	9.3285078141e-03	3.1327646493e-04	9.6085683651e-05	2.1719078128e-04
275               	-6.0251410428e-05	9.3231445764e-03	3.1188972468e-04	9.5693451910e-05	2.1619627277e-04
276               	-5.9953691707e-05	9.3178012245e-03	3.1051426731e-04	9.5303441945e-05	2.1521082536e-04
277               	-5.9659525938e-05	9.3124776781e-03	3.0915061464e-04	9.4915781382e-05	2.1423483326e-04
278               	-5.9369198391e-05	9.3071737043e-03	3.0779939846e-04	9.4530500837e-05	2.1326889762e-04
279               	-5.9082890258e-05	9.3018890441e-03	3.0646107133e-04	9.4147645408e-05	2.1231342592e-04
280               	-5.8800530376e-05	9.2966235125e-03	3.0513570098e-04	9.3767320113e-05	2.1136838086e-04
281               	-5.8521824265e-05	9.2913770437e-03	3.0382289528e-04	9.3389623373e-05	2.1043327190e-04
282               	-5.8246226371e-05	9.2861496777e-03	3.0252229525e-04	9.3014921254e-05	2.0950737400e-04
283               	-5.7973009041e-05	9.2809414368e-03	3.0123287624e-04	9.2643429079e-05	2.0858944716e-04
284               	-5.7701410871e-05	9.2757522529e-03	2.9995322425e-04	9.2275201252e-05	2.0767802299e-04
285               	-5.7430827522e-05	9.2705819664e-03	2.9868195215e-04	9.1910148553e-05	2.0677180360e-04
286               	-5.7161159786e-05	9.2654305171e-03	2.9741873822e-04	9.1548209326e-05	2.0587052890e-04
287               	-5.6892716343e-05	9.2602976203e-03	2.9616407781e-04	9.1189322560e-05	2.0497475525e-04
288               	-5.6625813882e-05	9.2551831453e-03	2.9491849356e-04	9.0833432899e-05	2.0408506066e-04
289               	-5.6360451729e-05	9.2500872599e-03	2.9368197024e-04	9.0480533392e-05	2.0320143685e-04
290               	-5.6096403441e-05	9.2450101402e-03	2.9245412857e-04	9.0130660846e-05	2.0232346773e-04
291               	-5.5833462154e-05	9.2399518664e-03	2.9123460807e-04	8.9783841879e-05	2.0145076619e-04
292               	-5.5571579167e-05	9.2349123208e-03	2.9002325691e-04	8.9440049287e-05	2.0058320762e-04
293               	-5.5310840900e-05	9.2298912471e-03	2.8882011476e-04	8.9099216481e-05	1.9972089828e-04
294               	-5.5051354381e-05	9.2248883123e-03	2.8762521063e-04	8.8761250933e-05	1.9886395969e-04
295               	-5.4793208348e-05	9.2199036143e-03	2.8643855353e-04	8.8426068418e-05	1.9801248511e-04
296               	-5.4536478466e-05	9.2149372531e-03	2.8526017076e-04	8.8093606916e-05	1.9716656385e-04
297               	-5.4281215660e-05	9.2099892051e-03	2.8409008306e-04	8.7763825871e-05	1.9632625719e-04
298               	-5.4027420426e-05	9.2050594104e-03	2.8292823159e-04	8.7436695370e-05	1.9549153622e-04
299               	-5.3775052638e-05	9.2001477817e-03	2.8177449410e-04	8.7112194413e-05	1.9466229969e-04
300               	-5.3524045963e-05	9.1952542192e-03	2.8062871924e-04	8.6790313659e-05	1.9383840559e-04
301               	-5.3274336648e-05	9.1903786152e-03	2.7949076358e-04	8.6471045140e-05	1.9301971844e-04
302               	-5.3025882795e-05	9.1855207996e-03	2.7836050737e-04	8.6154370890e-05	1.9220613648e-04
303               	-5.2778681815e-05	9.1806805873e-03	2.7723789443e-04	8.5840265398e-05	1.9139762903e-04
304               	-5.2532758672e-05	9.1758581583e-03	2.7612290201e-04	8.5528692331e-05	1.9059420968e-04
305               	-5.2288162523e-05	9.1710536280e-03	2.7501554072e-04	8.5219607836e-05	1.8979593288e-04
306               	-5.2044948685e-05	9.1662671092e-03	2.7391582170e-04	8.4912962166e-05	1.8900285954e-04
307               	-5.1803144721e-05	9.1614984333e-03	2.7282368283e-04	8.4608696695e-05	1.8821498614e-04
308               	-5.1562743997e-05	9.1567472480e-03	2.7173898048e-04	8.4306746246e-05	1.8743223424e-04
309               	-5.1323720759e-05	9.1520134084e-03	2.7066157075e-04	8.4007064616e-05	1.8665450613e-04
310               	-5.1086010418e-05	9.1472969613e-03	2.6959121643e-04	8.3709597799e-05	1.8588161863e-04
311               	-5.0849518720e-05	9.1425980065e-03	2.6852761862e-04	8.3414290589e-05	1.8511332803e-04
312               	-5.0614131111e-05	9.1379165468e-03	2.6747043786e-04	8.3121087820e-05	1.8434935004e-04
313               	-5.0379809538e-05	9.1332526341e-03	2.6641945896e-04	8.2829919943e-05	1.8358953902e-04
314               	-5.0146179030e-05	9.1286061345e-03	2.6537387828e-04	8.2540760110e-05	1.8283311817e-04
315               	-4.9913215934e-05	9.1239766491e-03	2.6433374669e-04	8.2253657413e-05	1.8208008928e-04
316               	-4.9681047219e-05	9.1193639026e-03	2.6329916939e-04	8.1968537477e-05	1.8133063191e-04
317               	-4.9449677098e-05	9.1147680131e-03	2.6226979608e-04	8.1685220943e-05	1.8058457514e-04
318               	-4.9218959920e-05	9.1101891470e-03	2.6124505929e-04	8.1403569724e-05	1.7984148956e-04
319               	-4.8988803978e-05	9.1056272922e-03	2.6022477226e-04	8.1123582150e-05	1.7910119011e-04
320               	-4.8759285104e-05	9.1010823056e-03	2.5920917476e-04	8.0845302276e-05	1.7836387248e-04
321               	-4.8530574880e-05	9.0965544217e-03	2.5819857983e-04	8.0568715036e-05	1.7762986480e-04
322               	-4.8302800879e-05	9.0920433181e-03	2.5719306084e-04	8.0293729541e-05	1.7689933130e-04
323               	-4.8075991504e-05	9.0875487935e-03	2.5619247645e-04	8.0020246721e-05	1.7617222973e-04
324               	-4.7850132391e-05	9.0830705321e-03	2.5519668873e-04	7.9748211972e-05	1.7544847675e-04
325               	-4.7625233911e-05	9.0786082163e-03	2.5420572836e-04	7.9477630271e-05	1.7472809809e-04
326               	-4.7401301627e-05	9.0741621949e-03	2.5321957137e-04	7.9208484059e-05	1.7401108731e-04
327               	-4.7178319340e-05	9.0697325508e-03	2.5223808227e-04	7.8940721794e-05	1.7329736047e-04
328               	-4.6956269275e-05	9.0653194071e-03	2.5126110043e-04	7.8674280940e-05	1.7258681949e-04
329               	-4.6734817674e-05	9.0609227501e-03	2.5028762630e-04	7.8408995477e-05	1.7187863082e-04
330               	-4.6513508567e-05	9.0565423601e-03	2.4931662530e-04	7.8144804082e-05	1.7117182122e-04
331               	-4.6292213130e-05	9.0521780408e-03	2.4834781507e-04	7.7881694403e-05	1.7046612066e-04
332               	-4.6071088503e-05	9.0478297647e-03	2.4738149082e-04	7.7619656906e-05	1.6976183391e-04
333               	-4.5850384483e-05	9.0434975684e-03	2.4641808602e-04	7.7358658525e-05	1.6905942749e-04
334               	-4.5630224725e-05	9.0391814465e-03	2.4545776292e-04	7.7098656735e-05	1.6835910618e-04
335               	-4.5410787994e-05	9.0348809814e-03	2.4450077582e-04	7.6839599914e-05	1.6766117590e-04
336               	-4.5192505853e-05	9.0305961984e-03	2.4354783573e-04	7.6581412011e-05	1.6696642372e-04
337               	-4.4975857787e-05	9.0263276375e-03	2.4259973121e-04	7.6324007818e-05	1.6627572339e-04
338               	-4.4761280623e-05	9.0220753512e-03	2.4165716562e-04	7.6067302186e-05	1.6558986343e-04
339               	-4.4549240479e-05	9.0178389852e-03	2.4072117849e-04	7.5811348766e-05	1.6490982972e-04
340               	-4.4340307791e-05	9.0136181769e-03	2.3979314750e-04	7.5556265957e-05	1.6423688154e-04
341               	-4.4134790224e-05	9.0094128295e-03	2.3887391125e-04	7.5302165401e-05	1.6357174585e-04
342               	-4.3932500993e-05	9.0052230780e-03	2.3796307429e-04	7.5049036154e-05	1.6291403814e-04
343               	-4.3732817480e-05	9.0010485735e-03	2.3705915366e-04	7.4796759351e-05	1.6226239431e-04
344               	-4.3534924824e-05	8.9968899366e-03	2.3616040962e-04	7.4545279986e-05	1.6161512963e-04
345               	-4.3338360888e-05	8.9927470427e-03	2.3526603389e-04	7.4294656059e-05	1.6097137784e-04
346               	-4.3142664692e-05	8.9886197398e-03	2.3437538435e-04	7.4045027485e-05	1.6033035687e-04
347               	-4.2947348117e-05	8.9845075708e-03	2.3348769114e-04	7.3796497451e-05	1.5969119368e-04
348               	-4.2751416329e-05	8.9804101923e-03	2.3260087650e-04	7.3549021922e-05	1.5905185458e-04
349               	-4.2554915966e-05	8.9763280423e-03	2.3171517828e-04	7.3302673172e-05	1.5841250510e-04
350               	-4.2358051612e-05	8.9722614063e-03	2.3083091556e-04	7.3057406166e-05	1.5777350939e-04
351               	-4.2160780883e-05	8.9682100742e-03	2.2994775507e-04	7.2813096654e-05	1.5713465842e-04
352               	-4.1962974508e-05	8.9641737384e-03	2.2906516734e-04	7.2569609163e-05	1.5649555818e-04
353               	-4.1764592567e-05	8.9601524022e-03	2.2818287083e-04	7.2326842850e-05	1.5585602798e-04
354               	-4.1565745658e-05	8.9561461549e-03	2.2730098273e-04	7.2084745707e-05	1.5521623702e-04
355               	-4.1367165656e-05	8.9521549431e-03	2.2642105190e-04	7.1843360293e-05	1.5457769160e-04
356               	-4.1168445800e-05	8.9481784983e-03	2.2554196029e-04	7.1602534347e-05	1.5393942595e-04
357               	-4.0969627851e-05	8.9442168229e-03	2.2466381276e-04	7.1362278531e-05	1.5330153423e-04
358               	-4.0771291111e-05	8.9402700201e-03	2.2378784344e-04	7.1122630606e-05	1.5266521283e-04
359               	-4.0574204211e-05	8.9363380805e-03	2.2291562411e-04	7.0883607844e-05	1.5203201627e-04
360               	-4.0379030448e-05	8.9324208439e-03	2.2204842470e-04	7.0645181903e-05	1.5140324280e-04
361               	-4.0186238893e-05	8.9285183969e-03	2.2118708477e-04	7.0407303489e-05	1.5077978128e-04
362               	-3.9996096580e-05	8.9246307644e-03	2.2033207423e-04	7.0169940537e-05	1.5016213370e-04
363               	-3.9808664785e-05	8.9207572430e-03	2.1948352408e-04	6.9933097253e-05	1.4955042682e-04
364               	-3.9623782693e-05	8.9168980975e-03	2.1864120217e-04	6.9696818390e-05	1.4894438378e-04
365               	-3.9441109560e-05	8.9130537321e-03	2.1780456706e-04	6.9461173969e-05	1.4834339309e-04
366               	-3.9260176761e-05	8.9092240720e-03	2.1697281602e-04	6.9226231251e-05	1.4774658477e-04
367               	-3.9080467958e-05	8.9054084768e-03	2.1614503321e-04	6.8992048647e-05	1.4715298456e-04
368               	-3.8901474254e-05	8.9016070076e-03	2.1532030364e-04	6.8758677565e-05	1.4656162607e-04
369               	-3.8722755179e-05	8.8978198741e-03	2.1449782224e-04	6.8526155941e-05	1.4597166630e-04
370               	-3.8543977674e-05	8.8940471398e-03	2.1367695822e-04	6.8294501438e-05	1.4538245679e-04
371               	-3.8364958841e-05	8.8902884685e-03	2.1285735178e-04	6.8063717051e-05	1.4479363473e-04
372               	-3.8185668132e-05	8.8865435673e-03	2.1203892142e-04	6.7833792579e-05	1.4420512884e-04
373               	-3.8006211681e-05	8.8828125471e-03	2.1122184093e-04	6.7604708785e-05	1.4361713215e-04
374               	-3.7826765031e-05	8.8790956788e-03	2.1040638268e-04	6.7376426311e-05	1.4302995637e-04
375               	-3.7647583296e-05	8.8753929239e-03	2.0959296055e-04	6.7148896981e-05	1.4244406357e-04
376               	-3.7468967304e-05	8.8717040952e-03	2.0878208744e-04	6.6922076417e-05	1.4186001103e-04
377               	-3.7291206636e-05	8.8680289344e-03	2.0797428137e-04	6.6695934048e-05	1.4127834732e-04
378               	-3.7114496605e-05	8.8643673482e-03	2.0716991179e-04	6.6470459290e-05	1.4069945250e-04
379               	-3.6938957674e-05	8.8607194269e-03	2.0636922298e-04	6.6245653818e-05	1.4012356917e-04
380               	-3.6764592552e-05	8.8570852463e-03	2.0557222538e-04	6.6021520139e-05	1.3955070524e-04
381               	-3.6591352988e-05	8.8534647831e-03	2.0477882879e-04	6.5798061404e-05	1.3898076738e-04
382               	-3.6419111175e-05	8.8498579273e-03	2.0398879990e-04	6.5575288772e-05	1.3841351112e-04
383               	-3.6247724112e-05	8.8462645529e-03	2.0320188482e-04	6.5353218296e-05	1.3784866652e-04
384               	-3.6077061023e-05	8.8426845774e-03	2.0241786349e-04	6.5131870720e-05	1.3728599277e-04
385               	-3.5907008726e-05	8.8391179534e-03	2.0163655746e-04	6.4911270001e-05	1.3672528745e-04
386               	-3.5737469031e-05	8.8355645656e-03	2.0085779516e-04	6.4691428550e-05	1.3616636661e-04
387               	-3.5568363406e-05	8.8320242652e-03	2.0008142239e-04	6.4472347790e-05	1.3560907460e-04
388               	-3.5399663912e-05	8.8284970430e-03	1.9930735444e-04	6.4254013310e-05	1.3505334113e-04
389               	-3.5231397714e-05	8.8249829981e-03	1.9853562667e-04	6.4036415623e-05	1.3449921105e-04
390               	-3.5063641223e-05	8.8214822027e-03	1.9776641145e-04	6.3819564503e-05	1.3394684695e-04
391               	-3.4896492051e-05	8.8179945817e-03	1.9699991422e-04	6.3603465058e-05	1.3339644916e-04
392               	-3.4730036169e-05	8.8145199128e-03	1.9623624428e-04	6.3388085970e-05	1.3284815831e-04
393               	-3.4564333504e-05	8.8110581658e-03	1.9547543042e-04	6.3173381708e-05	1.3230204872e-04
394               	-3.4399435873e-05	8.8076092750e-03	1.9471755456e-04	6.2959341408e-05	1.3175821315e-04
395               	-3.4235390220e-05	8.8041733945e-03	1.9396277354e-04	6.2745996547e-05	1.3121677699e-04
396               	-3.4072226284e-05	8.8007506220e-03	1.9321120274e-04	6.2533375088e-05	1.3067782766e-04
397               	-3.3909938456e-05	8.7973404838e-03	1.9246280136e-04	6.2321462223e-05	1.3014133913e-04
398               	-3.3748475057e-05	8.7939429351e-03	1.9171739440e-04	6.2110222145e-05	1.2960717226e-04
399               	-3.3587771781e-05	8.7905582015e-03	1.9097482479e-04	6.1899640614e-05	1.2907518418e-04
400               	-3.3427781205e-05	8.7871862093e-03	1.9023504715e-04	6.1689742370e-05	1.2854530478e-04
401               	-3.3268467234e-05	8.7838267826e-03	1.8949809138e-04	6.1480578454e-05	1.2801751292e-04
402               	-3.3109798657e-05	8.7804798530e-03	1.8876393672e-04	6.1272169704e-05	1.2749176702e-04
403               	-3.2951748925e-05	8.7771454032e-03	1.8803248506e-04	6.1064493603e-05	1.2696799145e-04
404               	-3.2794302278e-05	8.7738233932e-03	1.8730364002e-04	6.0857517732e-05	1.2644612229e-04
405               	-3.2637457956e-05	8.7705137939e-03	1.8657737788e-04	6.0651230982e-05	1.2592614689e-04
406               	-3.2481246121e-05	8.7672165682e-03	1.8585380814e-04	6.0445657950e-05	1.2540815019e-04
407               	-3.2325705616e-05	8.7639316395e-03	1.8513303579e-04	6.0240812278e-05	1.2489222351e-04
408               	-3.2170852826e-05	8.7606589415e-03	1.8441505330e-04	6.0036673822e-05	1.2437837947e-04
409               	-3.2016699549e-05	8.7573984000e-03	1.8369982888e-04	5.9833214890e-05	1.2386661399e-04
410               	-3.1863271158e-05	8.7541499482e-03	1.8298741073e-04	5.9630434208e-05	1.2335697652e-04
411               	-3.1710597132e-05	8.7509135891e-03	1.8227788907e-04	5.9428347401e-05	1.2284954166e-04
412               	-3.1558692720e-05	8.7476893306e-03	1.8157131872e-04	5.9226966638e-05	1.2234435208e-04
413               	-3.1407558200e-05	8.7444771507e-03	1.8086770195e-04	5.9026292776e-05	1.2184140918e-04
414               	-3.1257162466e-05	8.7412769611e-03	1.8016694970e-04	5.8826312386e-05	1.2134063732e-04
415               	-3.1107461455e-05	8.7380888518e-03	1.7946895349e-04	5.8627015292e-05	1.2084193820e-04
416               	-3.0958428470e-05	8.7349128778e-03	1.7877366693e-04	5.8428404995e-05	1.2034526194e-04
417               	-3.0810056964e-05	8.7317486527e-03	1.7808108548e-04	5.8230485776e-05	1.1985059970e-04
418               	-3.0662347267e-05	8.7285958058e-03	1.7739119843e-04	5.8033251947e-05	1.1935794648e-04
419               	-3.0515276211e-05	8.7254544347e-03	1.7670390824e-04	5.7836677909e-05	1.1886723033e-04
420               	-3.0368833575e-05	8.7223248433e-03	1.7601919869e-04	5.7640765768e-05	1.1837843292e-04
421               	-3.0223059598e-05	8.7192071331e-03	1.7533721367e-04	5.7445547238e-05	1.1789166643e-04
422               	-3.0077963389e-05	8.7161011440e-03	1.7465797194e-04	5.7251022584e-05	1.1740694936e-04
423               	-2.9959443502e-05	8.7130765429e-03	1.7413551917e-04	5.7108316086e-05	1.1702720309e-04
424               	-2.9773477462e-05	8.7100019255e-03	1.7324674119e-04	5.6849893135e-05	1.1639684806e-04
425               	-2.9614845661e-05	8.7069095036e-03	1.7248474765e-04	5.6627528163e-05	1.1585721948e-04
426               	-2.9522559820e-05	8.7038169962e-03	1.7206465501e-04	5.6509767685e-05	1.1555488732e-04
427               	-2.9365712114e-05	8.7006996265e-03	1.7130753538e-04	5.6288055575e-05	1.1501947980e-04
428               	-2.9209043820e-05	8.6976839321e-03	1.7057213157e-04	5.6077021964e-05	1.1449510960e-04
429               	-2.9097637172e-05	8.6947448537e-03	1.7008594582e-04	5.5945335739e-05	1.1414061008e-04
430               	-2.8928524062e-05	8.6917306222e-03	1.6927634991e-04	5.5709650894e-05	1.1356669902e-04
431               	-2.8804227649e-05	8.6887759326e-03	1.6870601533e-04	5.5548780015e-05	1.1315723531e-04
432               	-2.8641838827e-05	8.6857137008e-03	1.6790971158e-04	5.5313016965e-05	1.1259669462e-04
433               	-2.8534688401e-05	8.6827236839e-03	1.6741334890e-04	5.5171986047e-05	1.1224136285e-04
434               	-2.8379585825e-05	8.6796947741e-03	1.6666133748e-04	5.4951082917e-05	1.1171025457e-04
435               	-2.8264906159e-05	8.6767937836e-03	1.6614780964e-04	5.4808998659e-05	1.1133881098e-04
436               	-2.8098512324e-05	8.6738495104e-03	1.6535472191e-04	5.4578848633e-05	1.1077587328e-04
437               	-2.7981234070e-05	8.6709700205e-03	1.6482583736e-04	5.4431684611e-05	1.1039415275e-04
438               	-2.7822311836e-05	8.6679941619e-03	1.6405522446e-04	5.4205300395e-05	1.0984992407e-04
439               	-2.7713648662e-05	8.6650896620e-03	1.6355648342e-04	5.4064593046e-05	1.0949189037e-04
440               	-2.7557234415e-05	8.6621356972e-03	1.6279824613e-04	5.3841888649e-05	1.0895635748e-04
441               	-2.7445854992e-05	8.6592874807e-03	1.6229340884e-04	5.3700849428e-05	1.0859255941e-04
442               	-2.7311905586e-05	8.6564579043e-03	1.6167473970e-04	5.3525464263e-05	1.0814927544e-04
443               	-2.7135791310e-05	8.6535671825e-03	1.6081855610e-04	5.3273486741e-05	1.0754506936e-04
444               	-2.7033178425e-05	8.6507059796e-03	1.6033766390e-04	5.3135653525e-05	1.0720201037e-04
445               	-2.6923336936e-05	8.6478228409e-03	1.5981455255e-04	5.2983939342e-05	1.0683061321e-04
446               	-2.6758513897e-05	8.6449397257e-03	1.5901107212e-04	5.2747022163e-05	1.0626404996e-04
447               	-2.6647996864e-05	8.6421672683e-03	1.5850826589e-04	5.2606136082e-05	1.0590212981e-04
448               	-2.6525844093e-05	8.6393889457e-03	1.5794087611e-04	5.2444593963e-05	1.0549628215e-04
449               	-2.6384317932e-05	8.6366233790e-03	1.5727328647e-04	5.2252325301e-05	1.0502096117e-04
450               	-2.6242442413e-05	8.6338399824e-03	1.5659382310e-04	5.2054469139e-05	1.0453935396e-04
451               	-2.6117016256e-05	8.6310123436e-03	1.5598162322e-04	5.1873795355e-05	1.0410782787e-04
452               	-2.6003347621e-05	8.6281750723e-03	1.5542418067e-04	5.1708742714e-05	1.0371543796e-04
453               	-2.5885566347e-05	8.6253900916e-03	1.5485815490e-04	5.1543511102e-05	1.0331464380e-04
454               	-2.5756797067e-05	8.6226743604e-03	1.5425083410e-04	5.1368619981e-05	1.0288221411e-04
455               	-2.5624308155e-05	8.6199844266e-03	1.5362415741e-04	5.1187770549e-05	1.0243638686e-04
456               	-2.5498385769e-05	8.6172687943e-03	1.5301578442e-04	5.1009506443e-05	1.0200627798e-04
457               	-2.5381090130e-05	8.6145195979e-03	1.5243696373e-04	5.0837391733e-05	1.0159957199e-04
458               	-2.5266316144e-05	8.6117704493e-03	1.5186972563e-04	5.0668546673e-05	1.0120117896e-04
459               	-2.5149855466e-05	8.6090551735e-03	1.5129798006e-04	5.0499134565e-05	1.0079884550e-04
460               	-2.5035471800e-05	8.6063771418e-03	1.5072832045e-04	5.0328688427e-05	1.0039963203e-04
461               	-2.4926498840e-05	8.6037153345e-03	1.5017037938e-04	5.0158690851e-05	1.0001168853e-04
462               	-2.4824472807e-05	8.6010491298e-03	1.4963085432e-04	4.9990954352e-05	9.9639899965e-05
463               	-2.4722933240e-05	8.5983745575e-03	1.4909532230e-04	4.9824727909e-05	9.9270594389e-05
464               	-2.4617836624e-05	8.5957031391e-03	1.4855403692e-04	4.9659181834e-05	9.8894855082e-05
465               	-2.4508035004e-05	8.5930473662e-03	1.4800363050e-04	4.9493780249e-05	9.8509850256e-05
466               	-2.4392897672e-05	8.5904105785e-03	1.4744309683e-04	4.9328650745e-05	9.8114446089e-05
467               	-2.4247445905e-05	8.5877228711e-03	1.4673156539e-04	4.9118336788e-05	9.7613228598e-05
468               	-2.4159602619e-05	8.5851010992e-03	1.4635014546e-04	4.9015470109e-05	9.7334675347e-05
469               	-2.4012911728e-05	8.5824567608e-03	1.4568925552e-04	4.8831716033e-05	9.6857539488e-05
470               	-2.3863415863e-05	8.5798714144e-03	1.4504873638e-04	4.8660952326e-05	9.6387784051e-05
471               	-2.3721766111e-05	8.5772909687e-03	1.4445942402e-04	4.8507945901e-05	9.5951478122e-05
472               	-2.3582705853e-05	8.5747058289e-03	1.4388159575e-04	4.8358092024e-05	9.5523503730e-05
473               	-2.3438963435e-05	8.5721372592e-03	1.4327489804e-04	4.8198485587e-05	9.5076412458e-05
474               	-2.3293007326e-05	8.5695886320e-03	1.4264605922e-04	4.8030022284e-05	9.4616036935e-05
475               	-2.3153618855e-05	8.5670410507e-03	1.4203023974e-04	4.7861501013e-05	9.4168738723e-05
476               	-2.3025872758e-05	8.5644847196e-03	1.4144812227e-04	4.7698188375e-05	9.3749933891e-05
477               	-2.2907561341e-05	8.5619333830e-03	1.4089136279e-04	4.7538120054e-05	9.3353242736e-05
478               	-2.2793848078e-05	8.5594057088e-03	1.4034126745e-04	4.7376785645e-05	9.2964481800e-05
479               	-2.2682656337e-05	8.5569031346e-03	1.3979028170e-04	4.7212484514e-05	9.2577797187e-05
480               	-2.2575035316e-05	8.5544110497e-03	1.3924406562e-04	4.7046997495e-05	9.2197068128e-05
481               	-2.2471885412e-05	8.5519169617e-03	1.3870933596e-04	4.6882782569e-05	9.1826553394e-05
482               	-2.2371705708e-05	8.5494222900e-03	1.3818473326e-04	4.6720660924e-05	9.1464072340e-05
483               	-2.2271456731e-05	8.5469374594e-03	1.3766273308e-04	4.6559909810e-05	9.1102823271e-05
484               	-2.2168864994e-05	8.5444696049e-03	1.3713704863e-04	4.6399659322e-05	9.0737389311e-05
485               	-2.2063615532e-05	8.5420169721e-03	1.3660676332e-04	4.6239766126e-05	9.0366997191e-05
486               	-2.1956697556e-05	8.5395731279e-03	1.3607459821e-04	4.6080601550e-05	8.9993996662e-05
487               	-2.1849091606e-05	8.5371340935e-03	1.3554307029e-04	4.5922443538e-05	8.9620626750e-05
488               	-2.1741145279e-05	8.5347008568e-03	1.3501272432e-04	4.5765216883e-05	8.9247507441e-05
489               	-2.1632886661e-05	8.5322767901e-03	1.3448310915e-04	4.5608667913e-05	8.8874441235e-05
490               	-2.1524585605e-05	8.5298640136e-03	1.3395440149e-04	4.5452615141e-05	8.8501786350e-05
491               	-2.1416905586e-05	8.5274620950e-03	1.3342782622e-04	4.5297007526e-05	8.8130818697e-05
492               	-2.1310614698e-05	8.5250692523e-03	1.3290490771e-04	4.5141839158e-05	8.7763068555e-05
