# Residuals       
# Time            	p                 	Ux                	Uz                	k                 	omega             
259               	3.9738008820e-05	1.1093494093e-05	2.5119360924e-04	5.3361802571e-06	3.5417825867e-07
260               	3.9503194916e-05	1.1055702118e-05	2.4997908938e-04	5.3199035473e-06	3.5235594647e-07
261               	3.9259151140e-05	1.1018089527e-05	2.4876201336e-04	5.3040129098e-06	3.5055979124e-07
262               	3.9076797499e-05	1.0980625721e-05	2.4754339524e-04	5.2884857854e-06	3.4879882256e-07
263               	3.8872170438e-05	1.0943298870e-05	2.4632767621e-04	5.2735988730e-06	3.4703966402e-07
264               	3.8678859122e-05	1.0906166539e-05	2.4511763513e-04	5.2586135734e-06	3.4528249182e-07
265               	3.8488346629e-05	1.0869201084e-05	2.4391008143e-04	5.2435262696e-06	3.4351595020e-07
266               	3.8259545023e-05	1.0832422168e-05	2.4270207375e-04	5.2284341093e-06	3.4176655655e-07
267               	3.8156306974e-05	1.0795819589e-05	2.4150542680e-04	5.2134118539e-06	3.4002385337e-07
268               	3.8003114450e-05	1.0759464282e-05	2.4030496483e-04	5.1982206289e-06	3.3828513743e-07
269               	3.7817011190e-05	1.0723263673e-05	2.3911874134e-04	5.1829070477e-06	3.3654390336e-07
270               	3.7663009071e-05	1.0687170334e-05	2.3793298439e-04	5.1676471540e-06	3.3479947568e-07
271               	3.7453653118e-05	1.0651188593e-05	2.3675232685e-04	5.1524160016e-06	3.3306153378e-07
272               	3.7282806373e-05	1.0615326865e-05	2.3557808611e-04	5.1370438850e-06	3.3134016170e-07
273               	3.7114139476e-05	1.0579589590e-05	2.3440805981e-04	5.1216732996e-06	3.2963035321e-07
274               	3.6937362372e-05	1.0543964798e-05	2.3324636375e-04	5.1062441211e-06	3.2793528223e-07
275               	3.6774009061e-05	1.0508446986e-05	2.3209453498e-04	5.0907888476e-06	3.2623826824e-07
276               	3.6639441668e-05	1.0473041623e-05	2.3096486394e-04	5.0753612255e-06	3.2456531771e-07
277               	3.6514346098e-05	1.0437768001e-05	2.2983291704e-04	5.0601416573e-06	3.2292519963e-07
278               	3.6407432873e-05	1.0402618683e-05	2.2870054014e-04	5.0449625730e-06	3.2129870200e-07
279               	3.6246195328e-05	1.0367618214e-05	2.2757754454e-04	5.0298469911e-06	3.1971088257e-07
280               	3.6103875359e-05	1.0332775000e-05	2.2646416948e-04	5.0147537543e-06	3.1808013488e-07
281               	3.5940420119e-05	1.0298074734e-05	2.2535576342e-04	4.9999047371e-06	3.1656489022e-07
282               	3.5776300779e-05	1.0263512670e-05	2.2425284262e-04	4.9850622334e-06	3.1509978262e-07
283               	3.5591305111e-05	1.0229102904e-05	2.2314249398e-04	4.9702524526e-06	3.1362088651e-07
284               	3.5409140284e-05	1.0194837215e-05	2.2204998409e-04	4.9557044135e-06	3.1212246899e-07
285               	3.5254641659e-05	1.0160698692e-05	2.2096818921e-04	4.9411504136e-06	3.1060276733e-07
286               	3.5104135875e-05	1.0126694841e-05	2.1989058944e-04	4.9269514631e-06	3.0908731035e-07
287               	3.4951733529e-05	1.0092855082e-05	2.1881507118e-04	4.9131154938e-06	3.0757601714e-07
288               	3.4818808184e-05	1.0059176791e-05	2.1774113809e-04	4.8998587706e-06	3.0607672587e-07
289               	3.4651023384e-05	1.0025624739e-05	2.1667469824e-04	4.8866025008e-06	3.0458639860e-07
290               	3.4493344410e-05	9.9922071800e-06	2.1561368602e-04	4.8733525292e-06	3.0311526243e-07
291               	3.4345068175e-05	9.9589928422e-06	2.1455956954e-04	4.8600821439e-06	3.0165614976e-07
292               	3.4194938478e-05	9.9259241675e-06	2.1351128634e-04	4.8468196774e-06	3.0021944232e-07
293               	3.4029229558e-05	9.8930033596e-06	2.1248216994e-04	4.8336307842e-06	2.9878417229e-07
294               	3.3870991655e-05	9.8602749140e-06	2.1143970005e-04	4.8204319576e-06	2.9737032667e-07
295               	3.3722215927e-05	9.8276801836e-06	2.1039846414e-04	4.8072348421e-06	2.9597205506e-07
296               	3.3577220397e-05	9.7953311803e-06	2.0936183095e-04	4.7940808697e-06	2.9458913110e-07
297               	3.3447988456e-05	9.7631869309e-06	2.0833285820e-04	4.7809463208e-06	2.9321365921e-07
298               	3.3293784492e-05	9.7313322249e-06	2.0729803087e-04	4.7679380198e-06	2.9184143269e-07
299               	3.3146518992e-05	9.6996168184e-06	2.0628105523e-04	4.7549441256e-06	2.9048332505e-07
300               	3.2990732867e-05	9.6680234687e-06	2.0527903539e-04	4.7419627379e-06	2.8912202976e-07
301               	3.2839861723e-05	9.6365715461e-06	2.0428363313e-04	4.7290058447e-06	2.8777762790e-07
302               	3.2684658249e-05	9.6052402391e-06	2.0329147123e-04	4.7161871154e-06	2.8644329101e-07
303               	3.2521235359e-05	9.5740370111e-06	2.0230289931e-04	4.7034124898e-06	2.8512017054e-07
304               	3.2359626912e-05	9.5429750278e-06	2.0131833868e-04	4.6906675328e-06	2.8380950632e-07
305               	3.2201701468e-05	9.5120884830e-06	2.0033787510e-04	4.6779727855e-06	2.8250702084e-07
306               	3.2039128623e-05	9.4813762075e-06	1.9936123561e-04	4.6654795732e-06	2.8121859110e-07
307               	3.1881702029e-05	9.4507853068e-06	1.9839038140e-04	4.6530005273e-06	2.7994379367e-07
308               	3.1728676480e-05	9.4203121514e-06	1.9742549136e-04	4.6405897087e-06	2.7867729449e-07
309               	3.1578731196e-05	9.3899667340e-06	1.9646481072e-04	4.6283594649e-06	2.7741788011e-07
310               	3.1460807968e-05	9.3597581371e-06	1.9551111024e-04	4.6161965635e-06	2.7616771030e-07
311               	3.1341106739e-05	9.3296445785e-06	1.9456388303e-04	4.6043148740e-06	2.7493183188e-07
312               	3.1220325905e-05	9.2996178137e-06	1.9362185819e-04	4.5927647876e-06	2.7367660510e-07
313               	3.1090540805e-05	9.2696878449e-06	1.9269247172e-04	4.5815459545e-06	2.7243590964e-07
314               	3.0951582251e-05	9.2398659534e-06	1.9176785621e-04	4.5703510997e-06	2.7124085243e-07
315               	3.0812452110e-05	9.2101821326e-06	1.9084391469e-04	4.5591500593e-06	2.7006176812e-07
316               	3.0684491734e-05	9.1806301054e-06	1.8992442254e-04	4.5480019937e-06	2.6890752610e-07
317               	3.0558250457e-05	9.1511992118e-06	1.8901045366e-04	4.5368916175e-06	2.6775091663e-07
318               	3.0433271630e-05	9.1218969246e-06	1.8809822977e-04	4.5257871831e-06	2.6660284564e-07
319               	3.0304905088e-05	9.0927250003e-06	1.8718450555e-04	4.5146882988e-06	2.6546132370e-07
320               	3.0188200433e-05	9.0636674746e-06	1.8628812262e-04	4.5036331412e-06	2.6431803259e-07
321               	3.0079546618e-05	9.0347597768e-06	1.8539700131e-04	4.4926608082e-06	2.6317801712e-07
322               	2.9962138590e-05	9.0059743441e-06	1.8451062540e-04	4.4817297757e-06	2.6204921000e-07
323               	2.9840439551e-05	8.9772815864e-06	1.8362630050e-04	4.4708297190e-06	2.6092936094e-07
324               	2.9721910173e-05	8.9487616471e-06	1.8274796624e-04	4.4600047054e-06	2.5981193663e-07
325               	2.9597621194e-05	8.9203259355e-06	1.8187200614e-04	4.4492883564e-06	2.5870514608e-07
326               	2.9480826788e-05	8.8919941370e-06	1.8100151079e-04	4.4386118091e-06	2.5760179238e-07
327               	2.9368476482e-05	8.8637864737e-06	1.8013666588e-04	4.4280023657e-06	2.5651103128e-07
328               	2.9258538183e-05	8.8356990000e-06	1.7927563849e-04	4.4175080831e-06	2.5542583607e-07
329               	2.9150059281e-05	8.8077347407e-06	1.7841813875e-04	4.4070749928e-06	2.5434204482e-07
330               	2.9034508258e-05	8.7798825819e-06	1.7758232266e-04	4.3967137134e-06	2.5327149401e-07
331               	2.8926245771e-05	8.7521627721e-06	1.7673795959e-04	4.3864720248e-06	2.5220695497e-07
332               	2.8820457955e-05	8.7245658551e-06	1.7589400740e-04	4.3763203289e-06	2.5114609179e-07
333               	2.8717248699e-05	8.6970688873e-06	1.7505590749e-04	4.3663337871e-06	2.5008767563e-07
334               	2.8619903787e-05	8.6696903072e-06	1.7423631852e-04	4.3566299669e-06	2.4904334071e-07
335               	2.8526343781e-05	8.6424514813e-06	1.7340892893e-04	4.3471021514e-06	2.4800204120e-07
336               	2.8436106573e-05	8.6153089630e-06	1.7257466401e-04	4.3375917741e-06	2.4697414425e-07
337               	2.8347303577e-05	8.5882922205e-06	1.7175397193e-04	4.3280946828e-06	2.4597371060e-07
338               	2.8258586289e-05	8.5614140534e-06	1.7093626241e-04	4.3186165108e-06	2.4499012991e-07
339               	2.8163278457e-05	8.5346767957e-06	1.7014169857e-04	4.3091492933e-06	2.4401314549e-07
340               	2.8073014120e-05	8.5080949568e-06	1.6933626268e-04	4.2996820875e-06	2.4303707280e-07
341               	2.7987358640e-05	8.4817114154e-06	1.6852772793e-04	4.2902029323e-06	2.4205577625e-07
342               	2.7903321495e-05	8.4554685235e-06	1.6771718148e-04	4.2807082199e-06	2.4108716533e-07
343               	2.7811609018e-05	8.4293189493e-06	1.6690850315e-04	4.2712138084e-06	2.4010769508e-07
344               	2.7729715721e-05	8.4032767436e-06	1.6611427257e-04	4.2617155219e-06	2.3914609776e-07
345               	2.7651285815e-05	8.3773390230e-06	1.6532636119e-04	4.2522240074e-06	2.3818025926e-07
346               	2.7567307590e-05	8.3515185209e-06	1.6456165919e-04	4.2427407018e-06	2.3723380855e-07
347               	2.7482392474e-05	8.3258061383e-06	1.6378479427e-04	4.2332657141e-06	2.3628835788e-07
348               	2.7402084335e-05	8.3002304583e-06	1.6300822332e-04	4.2238040834e-06	2.3535209911e-07
349               	2.7322877105e-05	8.2747697000e-06	1.6222055215e-04	4.2143619777e-06	2.3441178635e-07
350               	2.7251015850e-05	8.2494044904e-06	1.6145702157e-04	4.2049347506e-06	2.3348714292e-07
351               	2.7175737098e-05	8.2241435995e-06	1.6069671984e-04	4.1955204074e-06	2.3256569038e-07
352               	2.7096569412e-05	8.1989715009e-06	1.5993990388e-04	4.1861285518e-06	2.3164689539e-07
353               	2.7018558585e-05	8.1738956250e-06	1.5918850599e-04	4.1767501707e-06	2.3074019277e-07
354               	2.6946451195e-05	8.1489297304e-06	1.5845187159e-04	4.1673799115e-06	2.2983454510e-07
355               	2.6880524306e-05	8.1240654083e-06	1.5771434839e-04	4.1580340245e-06	2.2892506106e-07
356               	2.6815360972e-05	8.0992957371e-06	1.5697858295e-04	4.1487139843e-06	2.2802959231e-07
357               	2.6750266237e-05	8.0746215202e-06	1.5624630553e-04	4.1394333043e-06	2.2713385742e-07
358               	2.6692575144e-05	8.0500383781e-06	1.5551725426e-04	4.1301865338e-06	2.2623656143e-07
359               	2.6640897383e-05	8.0255455576e-06	1.5479220171e-04	4.1209748033e-06	2.2535435012e-07
360               	2.6587806413e-05	8.0011459034e-06	1.5406406325e-04	4.1118061553e-06	2.2447842240e-07
361               	2.6538240354e-05	7.9768389970e-06	1.5333610358e-04	4.1026739405e-06	2.2361801931e-07
362               	2.6487808508e-05	7.9526073838e-06	1.5261921372e-04	4.0935720990e-06	2.2276740158e-07
363               	2.6442501364e-05	7.9285361875e-06	1.5190679401e-04	4.0844993191e-06	2.2191942331e-07
364               	2.6399829735e-05	7.9045556786e-06	1.5119804423e-04	4.0754535352e-06	2.2107577709e-07
365               	2.6355528167e-05	7.8806391714e-06	1.5051358392e-04	4.0664343205e-06	2.2023382261e-07
366               	2.6316142354e-05	7.8568076886e-06	1.4981350606e-04	4.0574414721e-06	2.1939897810e-07
367               	2.6280065182e-05	7.8330808103e-06	1.4909391451e-04	4.0484711281e-06	2.1857128940e-07
368               	2.6258531569e-05	7.8094710705e-06	1.4839865391e-04	4.0395060381e-06	2.1774677906e-07
369               	2.6239036189e-05	7.7859743592e-06	1.4771915949e-04	4.0305659322e-06	2.1692878844e-07
370               	2.6224606080e-05	7.7625848832e-06	1.4703090574e-04	4.0216486279e-06	2.1611422938e-07
371               	2.6202788977e-05	7.7392901612e-06	1.4633201917e-04	4.0127377536e-06	2.1530106688e-07
372               	2.6182231597e-05	7.7160966297e-06	1.4564956384e-04	4.0038495745e-06	2.1449195186e-07
373               	2.6168045571e-05	7.6930055167e-06	1.4497457249e-04	3.9949695555e-06	2.1369025588e-07
374               	2.6158298324e-05	7.6700162864e-06	1.4430274498e-04	3.9860887168e-06	2.1289022531e-07
375               	2.6154386667e-05	7.6471198747e-06	1.4363712138e-04	3.9772194781e-06	2.1209201590e-07
376               	2.6155092564e-05	7.6243172299e-06	1.4298566556e-04	3.9683687590e-06	2.1129763975e-07
377               	2.6166066754e-05	7.6016191953e-06	1.4232998506e-04	3.9595331922e-06	2.1050540900e-07
378               	2.6178033429e-05	7.5790301509e-06	1.4166400933e-04	3.9507025959e-06	2.0972610575e-07
379               	2.6174560498e-05	7.5565263448e-06	1.4099914166e-04	3.9418817914e-06	2.0894476087e-07
380               	2.6152752303e-05	7.5341064259e-06	1.4034377668e-04	3.9330831194e-06	2.0816622073e-07
381               	2.6124143759e-05	7.5117911267e-06	1.3969082558e-04	3.9243110407e-06	2.0739420308e-07
382               	2.6097045810e-05	7.4895670432e-06	1.3904187454e-04	3.9155581507e-06	2.0663008860e-07
383               	2.6072669574e-05	7.4674341198e-06	1.3839702556e-04	3.9068261477e-06	2.0587617766e-07
384               	2.6058511316e-05	7.4454194102e-06	1.3777003815e-04	3.8981200531e-06	2.0513252050e-07
385               	2.6027313738e-05	7.4234876720e-06	1.3713774758e-04	3.8894398711e-06	2.0439346555e-07
386               	2.5997101099e-05	7.4016706838e-06	1.3650606084e-04	3.8807831636e-06	2.0365534237e-07
387               	2.5967627156e-05	7.3799658705e-06	1.3588343354e-04	3.8721524115e-06	2.0291948338e-07
388               	2.5947663127e-05	7.3584062217e-06	1.3525737485e-04	3.8635491481e-06	2.0218890865e-07
389               	2.5919067881e-05	7.3369617736e-06	1.3462106864e-04	3.8549699282e-06	2.0146033966e-07
390               	2.5883464001e-05	7.3156108631e-06	1.3400160102e-04	3.8464146693e-06	2.0073499967e-07
391               	2.5847888792e-05	7.2943356544e-06	1.3338349025e-04	3.8378834376e-06	2.0001477630e-07
392               	2.5797703648e-05	7.2731469249e-06	1.3275572890e-04	3.8293788265e-06	1.9929623468e-07
393               	2.5746744979e-05	7.2520436940e-06	1.3213390172e-04	3.8209024822e-06	1.9858053780e-07
394               	2.5697186895e-05	7.2310416878e-06	1.3151955747e-04	3.8124584605e-06	1.9786127212e-07
395               	2.5650314653e-05	7.2101283477e-06	1.3091004043e-04	3.8040486221e-06	1.9714797731e-07
396               	2.5602330404e-05	7.1892847839e-06	1.3030457925e-04	3.7956744437e-06	1.9643343944e-07
397               	2.5558429093e-05	7.1685117380e-06	1.2970315167e-04	3.7873360833e-06	1.9572756780e-07
398               	2.5517014431e-05	7.1478137891e-06	1.2910438575e-04	3.7790487018e-06	1.9503585897e-07
399               	2.5478712474e-05	7.1271884559e-06	1.2851993812e-04	3.7707779562e-06	1.9435303486e-07
400               	2.5446237289e-05	7.1066392130e-06	1.2792032410e-04	3.7625120385e-06	1.9367673276e-07
401               	2.5411008188e-05	7.0861616771e-06	1.2733765298e-04	3.7542587131e-06	1.9300627824e-07
402               	2.5372340288e-05	7.0657558023e-06	1.2675576795e-04	3.7460219071e-06	1.9234053919e-07
403               	2.5328467270e-05	7.0454212322e-06	1.2618140597e-04	3.7378034461e-06	1.9167714556e-07
404               	2.5277995971e-05	7.0251633035e-06	1.2559026939e-04	3.7296068335e-06	1.9101430345e-07
405               	2.5221206088e-05	7.0049940692e-06	1.2501156935e-04	3.7214328699e-06	1.9035728331e-07
406               	2.5162970664e-05	6.9849084828e-06	1.2443200551e-04	3.7132788277e-06	1.8970636055e-07
407               	2.5102528744e-05	6.9649021960e-06	1.2384415256e-04	3.7051323300e-06	1.8906828263e-07
408               	2.5042407539e-05	6.9449737752e-06	1.2327071124e-04	3.6969894432e-06	1.8843286277e-07
409               	2.4981800005e-05	6.9251261114e-06	1.2270269139e-04	3.6888571535e-06	1.8779876213e-07
410               	2.4921115698e-05	6.9053623380e-06	1.2213873262e-04	3.6807336606e-06	1.8717319325e-07
411               	2.4861809767e-05	6.8856783998e-06	1.2157783874e-04	3.6726190101e-06	1.8654293363e-07
412               	2.4804791551e-05	6.8660636974e-06	1.2101954691e-04	3.6645026893e-06	1.8592504467e-07
413               	2.4751702002e-05	6.8465350414e-06	1.2046401034e-04	3.6563759079e-06	1.8530183278e-07
414               	2.4698056316e-05	6.8270813549e-06	1.1991587876e-04	3.6482602746e-06	1.8468051623e-07
415               	2.4645988124e-05	6.8076905078e-06	1.1936533778e-04	3.6401651470e-06	1.8406176347e-07
416               	2.4594957026e-05	6.7883711699e-06	1.1881595316e-04	3.6320929338e-06	1.8344472732e-07
417               	2.4544181262e-05	6.7691218449e-06	1.1827358115e-04	3.6240455348e-06	1.8282681653e-07
418               	2.4486779963e-05	6.7499459868e-06	1.1773441985e-04	3.6160227018e-06	1.8221243053e-07
419               	2.4428411853e-05	6.7308460449e-06	1.1719527921e-04	3.6080269591e-06	1.8159146217e-07
420               	2.4371741577e-05	6.7118245072e-06	1.1666879003e-04	3.6000591772e-06	1.8097694161e-07
421               	2.4318666842e-05	6.6928914908e-06	1.1613626144e-04	3.5921185100e-06	1.8036569210e-07
422               	2.4254912075e-05	6.6740169317e-06	1.1559536248e-04	3.5842019881e-06	1.7975483952e-07
423               	2.4185961209e-05	6.6552504546e-06	1.1506712004e-04	3.5762745448e-06	1.7913455480e-07
424               	2.4127797400e-05	6.6408292457e-06	1.1434481297e-04	3.5685457561e-06	1.7851249637e-07
425               	2.4044307006e-05	6.6172339408e-06	1.1392115564e-04	3.5606465146e-06	1.7792241603e-07
426               	2.3998229092e-05	6.5979797797e-06	1.1362555596e-04	3.5526966333e-06	1.7732749040e-07
427               	2.3940391278e-05	6.5842367998e-06	1.1298769854e-04	3.5449974827e-06	1.7671460000e-07
428               	2.3845004886e-05	6.5608933855e-06	1.1244672928e-04	3.5372275263e-06	1.7612972985e-07
429               	2.3786275008e-05	6.5416894182e-06	1.1197026591e-04	3.5294294460e-06	1.7554628310e-07
430               	2.3745929965e-05	6.5291124934e-06	1.1130516319e-04	3.5218389888e-06	1.7495962110e-07
431               	2.3677525529e-05	6.5073997536e-06	1.1089454414e-04	3.5141024949e-06	1.7439687617e-07
432               	2.3638561820e-05	6.4925963865e-06	1.1032455175e-04	3.5065296339e-06	1.7382725420e-07
433               	2.3569394700e-05	6.4703813613e-06	1.0998084390e-04	3.4988105502e-06	1.7327154740e-07
434               	2.3514271871e-05	6.4556100241e-06	1.0937924087e-04	3.4912667917e-06	1.7269608576e-07
435               	2.3432762335e-05	6.4337267179e-06	1.0894671063e-04	3.4836046014e-06	1.7213860299e-07
436               	2.3378327338e-05	6.4197063564e-06	1.0830873569e-04	3.4761228434e-06	1.7156921077e-07
437               	2.3305981228e-05	6.3988610957e-06	1.0791913129e-04	3.4685024725e-06	1.7101991991e-07
438               	2.3270146539e-05	6.3853008580e-06	1.0734962565e-04	3.4610477999e-06	1.7045739425e-07
439               	2.3214674137e-05	6.3642586198e-06	1.0699656525e-04	3.4534537632e-06	1.6990893913e-07
440               	2.3173988033e-05	6.3500594362e-06	1.0640798940e-04	3.4460250181e-06	1.6934326341e-07
441               	2.3105569134e-05	6.3288033993e-06	1.0600029273e-04	3.4384766601e-06	1.6879904398e-07
442               	2.3057986204e-05	6.3149918048e-06	1.0539873728e-04	3.4310707929e-06	1.6825232094e-07
443               	2.3002479000e-05	6.2982792358e-06	1.0480681368e-04	3.4237075816e-06	1.6771888821e-07
444               	2.2953699115e-05	6.2767634462e-06	1.0457014632e-04	3.4161548144e-06	1.6719250096e-07
445               	2.2944067029e-05	6.2635913491e-06	1.0409663390e-04	3.4087494596e-06	1.6665017353e-07
446               	2.2906010563e-05	6.2469854058e-06	1.0350148018e-04	3.4014273654e-06	1.6611592501e-07
447               	2.2864449865e-05	6.2250425939e-06	1.0313464522e-04	3.3939559531e-06	1.6558259903e-07
448               	2.2856454441e-05	6.2121165293e-06	1.0258994701e-04	3.3866321225e-06	1.6504672774e-07
449               	2.2827293308e-05	6.1965327616e-06	1.0203024288e-04	3.3793591264e-06	1.6452183513e-07
450               	2.2799324364e-05	6.1792039717e-06	1.0154562168e-04	3.3720786567e-06	1.6401187389e-07
451               	2.2780375072e-05	6.1619881848e-06	1.0116281139e-04	3.3647819119e-06	1.6350797637e-07
452               	2.2763285688e-05	6.1450875252e-06	1.0079685821e-04	3.3575009376e-06	1.6300376245e-07
453               	2.2734505426e-05	6.1280566706e-06	1.0036480544e-04	3.3502619391e-06	1.6249802001e-07
454               	2.2696996424e-05	6.1110795034e-06	9.9855121026e-05	3.3430628824e-06	1.6199300975e-07
455               	2.2661503261e-05	6.0946350586e-06	9.9341145131e-05	3.3358833756e-06	1.6149387979e-07
456               	2.2630381694e-05	6.0787180708e-06	9.8888787458e-05	3.3287089550e-06	1.6099968724e-07
457               	2.2599485518e-05	6.0628332185e-06	9.8486294624e-05	3.3215414500e-06	1.6050743355e-07
458               	2.2562933076e-05	6.0465631214e-06	9.8085465612e-05	3.3143941964e-06	1.6001328182e-07
459               	2.2508982655e-05	6.0299664254e-06	9.7644587432e-05	3.3072786141e-06	1.5951715938e-07
460               	2.2413629380e-05	6.0134388372e-06	9.7154581331e-05	3.3001947496e-06	1.5902187951e-07
461               	2.2261288300e-05	5.9973069333e-06	9.6654977644e-05	3.2931410224e-06	1.5852600666e-07
462               	2.2080006997e-05	5.9815102300e-06	9.6187030927e-05	3.2861145503e-06	1.5803432938e-07
463               	2.1881740108e-05	5.9657823391e-06	9.5736930432e-05	3.2791136974e-06	1.5754348894e-07
464               	2.1655387689e-05	5.9499313290e-06	9.5287362194e-05	3.2721417770e-06	1.5705304827e-07
465               	2.1385305071e-05	5.9339919897e-06	9.4832687507e-05	3.2652033496e-06	1.5656543058e-07
466               	2.1095788477e-05	5.9181193847e-06	9.4373194889e-05	3.2582846334e-06	1.5608922045e-07
467               	2.0813321553e-05	5.9023888844e-06	9.3922189062e-05	3.2514052439e-06	1.5561418864e-07
468               	2.0551755124e-05	5.8836520418e-06	9.3700828058e-05	3.2443997653e-06	1.5514388465e-07
469               	2.0332028981e-05	5.8717921450e-06	9.3166031057e-05	3.2375847092e-06	1.5466042934e-07
470               	2.0082069975e-05	5.8535655242e-06	9.2717613979e-05	3.2307067587e-06	1.5419170681e-07
471               	1.9845807054e-05	5.8381194232e-06	9.2283032712e-05	3.2238348818e-06	1.5371948666e-07
472               	1.9636829011e-05	5.8240310499e-06	9.1845068528e-05	3.2169955077e-06	1.5325054776e-07
473               	1.9430072691e-05	5.8094996089e-06	9.1387027044e-05	3.2101899800e-06	1.5277841094e-07
474               	1.9211412301e-05	5.7942350982e-06	9.0927583582e-05	3.2034046751e-06	1.5231171682e-07
475               	1.9020989805e-05	5.7788282558e-06	9.0496218756e-05	3.1966289750e-06	1.5184856229e-07
476               	1.8832940391e-05	5.7635825728e-06	9.0093763089e-05	3.1898666683e-06	1.5139079087e-07
477               	1.8663524358e-05	5.7483994438e-06	8.9695982294e-05	3.1831233763e-06	1.5093756760e-07
478               	1.8515282573e-05	5.7332026566e-06	8.9285522500e-05	3.1764054143e-06	1.5048243137e-07
479               	1.8379363333e-05	5.7181204907e-06	8.8866869774e-05	3.1697121906e-06	1.5003043839e-07
480               	1.8248704001e-05	5.7032804331e-06	8.8457839638e-05	3.1630343343e-06	1.4958076083e-07
481               	1.8147331935e-05	5.6886003027e-06	8.8067303714e-05	3.1563639016e-06	1.4914004439e-07
482               	1.8067760791e-05	5.6738723044e-06	8.7681177527e-05	3.1497099007e-06	1.4869951160e-07
483               	1.7989899516e-05	5.6590093386e-06	8.7290543856e-05	3.1430772553e-06	1.4825781281e-07
484               	1.7931151207e-05	5.6441309222e-06	8.6883321864e-05	3.1364703501e-06	1.4781397097e-07
485               	1.7880837105e-05	5.6293989225e-06	8.6483647193e-05	3.1298886055e-06	1.4737329166e-07
486               	1.7829031466e-05	5.6148583548e-06	8.6090919601e-05	3.1233274233e-06	1.4693731162e-07
487               	1.7781272494e-05	5.6004245686e-06	8.5705424289e-05	3.1167878986e-06	1.4649913402e-07
488               	1.7726020127e-05	5.5859746009e-06	8.5321342147e-05	3.1102732039e-06	1.4606145375e-07
489               	1.7643979710e-05	5.5715036449e-06	8.4935830478e-05	3.1037815730e-06	1.4562850048e-07
490               	1.7559440044e-05	5.5570680373e-06	8.4554552817e-05	3.0973095007e-06	1.4519881705e-07
491               	1.7482684025e-05	5.5427743945e-06	8.4174891331e-05	3.0908547832e-06	1.4477045057e-07
492               	1.7391579431e-05	5.5285802660e-06	8.3798250640e-05	3.0844166221e-06	1.4434408368e-07
493               	1.7286273444e-05	5.5144473313e-06	8.3421784964e-05	3.0779998645e-06	1.4391630397e-07
494               	1.7211325031e-05	5.5003489955e-06	8.3044650047e-05	3.0716086733e-06	1.4349397997e-07
495               	1.7136271437e-05	5.4862900085e-06	8.2665361942e-05	3.0652404431e-06	1.4307359328e-07
496               	1.7061729189e-05	5.4722994734e-06	8.2283546148e-05	3.0588933110e-06	1.4265356734e-07
497               	1.7009598216e-05	5.4583817089e-06	8.1902851916e-05	3.0525714667e-06	1.4223427921e-07
498               	1.6938636253e-05	5.4445251360e-06	8.1525268780e-05	3.0462758649e-06	1.4182241393e-07
499               	1.6871322063e-05	5.4307163047e-06	8.1154025956e-05	3.0400024034e-06	1.4141210365e-07
500               	1.6818140533e-05	5.4169532998e-06	8.0782750553e-05	3.0337482232e-06	1.4100268339e-07
501               	1.6762883883e-05	5.4032397313e-06	8.0410777142e-05	3.0275117024e-06	1.4059427793e-07
502               	1.6706824277e-05	5.3895809216e-06	8.0040155657e-05	3.0212918688e-06	1.4018704822e-07
503               	1.6656842314e-05	5.3759799136e-06	7.9674624963e-05	3.0150881136e-06	1.3978165643e-07
504               	1.6607745155e-05	5.3624316841e-06	7.9312717098e-05	3.0088915213e-06	1.3937666742e-07
505               	1.6561434399e-05	5.3489262226e-06	7.8954080462e-05	3.0027112779e-06	1.3897350258e-07
506               	1.6524387334e-05	5.3354618726e-06	7.8595428155e-05	2.9965482919e-06	1.3856775904e-07
507               	1.6478799017e-05	5.3220397696e-06	7.8238536567e-05	2.9904032675e-06	1.3816331681e-07
508               	1.6432097779e-05	5.3086607103e-06	7.7882196325e-05	2.9842738384e-06	1.3776494893e-07
509               	1.6388673545e-05	5.2953288597e-06	7.7526359345e-05	2.9781514888e-06	1.3737123479e-07
510               	1.6328594451e-05	5.2820468003e-06	7.7171684515e-05	2.9720455364e-06	1.3697994436e-07
511               	1.6267575220e-05	5.2688146096e-06	7.6819042453e-05	2.9659506447e-06	1.3658905119e-07
512               	1.6204804797e-05	5.2556322132e-06	7.6469335875e-05	2.9598678434e-06	1.3619894449e-07
513               	1.6151172104e-05	5.2424956811e-06	7.6119143077e-05	2.9537957402e-06	1.3580946486e-07
514               	1.6086562371e-05	5.2294028474e-06	7.5771721107e-05	2.9477382960e-06	1.3541998215e-07
515               	1.6008959482e-05	5.2163511878e-06	7.5427385617e-05	2.9416965370e-06	1.3503301947e-07
516               	1.5941698475e-05	5.2033415429e-06	7.5084895897e-05	2.9356630950e-06	1.3464979266e-07
517               	1.5892106684e-05	5.1903733722e-06	7.4745563781e-05	2.9296459971e-06	1.3426667861e-07
518               	1.5832683911e-05	5.1774459625e-06	7.4410705970e-05	2.9236478185e-06	1.3388487701e-07
519               	1.5760415916e-05	5.1645654231e-06	7.4079844601e-05	2.9176673427e-06	1.3350490246e-07
520               	1.5692792815e-05	5.1517331522e-06	7.3750508542e-05	2.9117034096e-06	1.3312593185e-07
521               	1.5634816966e-05	5.1389455858e-06	7.3421113848e-05	2.9057545707e-06	1.3274824534e-07
